,specialties
0,internalmedicine
1,familymedicine
2,dentistry
3,obstetrics
4,gynecology
5,ophthalmology
6,pediatrics
7,orthopedicsurgery
8,cardiology
9,generalsurgery
10,radiology
11,pathology
12,otolaryngology
13,urology
14,infertility
15,reproductiveendocrinology
16,dermatology
17,gastroenterology
18,endodontics
19,nephrology
20,orthodontics
21,neurology
22,emergencymedicine
23,endocrinology
24,diabetes
25,metabolism
26,maxillofacialsurgery
27,oral
28,criticalcaremedicine
29,neurosurgery
30,medicaloncology
31,prosthodontics
32,pulmonology
33,plasticsurgery
34,rehabilitation
35,physicalmedicine
36,pediatricdentistry
37,neonatologyperinatalmedicine
38,anesthesia
39,psychiatry
40,cataract
41,anteriorsegmentsurgery
42,surgicaloncology
43,retina
44,vitreoretinalophthalmology
45,aestheticdentistry
46,infectiousdiseases
47,maternitycare
48,refractivesurgeryophthalmology
49,maternalfetalmedicineorperinatology
50,spineneurosurgery
51,glaucomaophthalmology
52,corneaophthalmology
53,periodontics
54,cosmeticdentistry
55,pediatricsurgery
56,cardiacsurgery
57,reconstructiveorbitalsurgery
58,oculoplastics
59,clinicalpathology
60,rheumatology
61,strabismusophthalmology
62,
63,colorectalsurgery
64,jointreconstructionsurgery
65,preventivemedicine
66,vascularsurgery
67,cosmeticdermatology
68,hematology
69,transplantsurgery
70,immunology
71,generaldentistry
72,dentoalveolarsurgery
73,rology
74,endourology
75,minimallyinvasivesurgery
76,bariatricsurgery
77,painmedicinepmr
78,allergy
79,malefertility
80,interventionalradiology
81,shoulder
82,elboworthopedicsurgery
83,eyetrauma
84,emergencyeyecare
85,geriatricsinternalmedicine
86,nuclearmedicine
87,molecularimaging
88,addictionpsychiatry
89,generalmedicine
90,pediatriccriticalcaremedicine
91,head
92,hospice
93,sleepmedicine
94,palliativeinternalmedicine
95,hepatopancreatobiliarysurgery
96,neuroophthalmology
97,headachemedicine
98,pediatriccardiology
99,chronicdiseaseprevention
